publish_date,sentiment_polarity,Date,sentiment_subjectivity
{'$date': '2017-02-14T13:15:33.000+0000'},0.0677854938271605,2017-02-14,0.3904320987654322
{'$date': '2017-03-26T07:00:58.000+0000'},0.08524051546203446,2017-03-26,0.5366650227409722
{'$date': '2016-12-20T00:00:00.000+0000'},0.1036363636363636,2016-12-20,0.2354545454545454
{'$date': '2016-12-25T00:00:00.000+0000'},0.05452380952380952,2016-12-25,0.3948809523809524
{'$date': '2016-12-23T00:00:00.000+0000'},0.02242647058823529,2016-12-23,0.4018382352941176
{'$date': '2017-03-03T00:00:00.000+0000'},0.02543070073557879,2017-03-03,0.3453155245838173
{'$date': '2016-12-29T17:32:00.000+0000'},0.1060457687473816,2016-12-29,0.4887009495880464
{'$date': '2017-02-14T06:13:59.000+0000'},0.1773824148824149,2017-02-14,0.503147303147303
{'$date': '2017-02-13T00:00:00.000+0000'},0.08616771159874609,2017-02-13,0.3768808777429468
{'$date': '2017-02-13T18:00:14.000+0000'},0.1461564171122995,2017-02-13,0.4472370766488415
{'$date': '2017-01-23T14:13:31.000+0000'},0.07268398268398268,2017-01-23,0.3251082251082251
{'$date': '2017-01-23T00:00:00.000+0000'},0.3203125,2017-01-23,0.49375
{'$date': '2017-01-24T09:05:00.000+0000'},0.1941919191919192,2017-01-24,0.5600448933782266
{'$date': '2016-12-27T00:00:00.000+0000'},0.1388888888888889,2016-12-27,0.2
{'$date': '2016-12-27T13:15:01.000+0000'},-0.06562500000000007,2016-12-27,0.4416666666666668
{'$date': '2017-02-01T13:04:55.000+0000'},0.06645877378435518,2017-02-01,0.4718780831571528
{'$date': '2017-02-01T13:40:32.000+0000'},0.07461215932914045,2017-02-01,0.4134156933213537
{'$date': '2017-03-24T07:30:47.000+0000'},0.1170577130528587,2017-03-24,0.4519147788565264
{'$date': '2017-03-23T17:06:46.000+0000'},-0.03450191570881225,2017-03-23,0.3968582375478926
{'$date': '2017-02-01T00:00:00.000+0000'},0.09711538461538462,2017-02-01,0.3185897435897435
{'$date': '2017-01-30T00:00:00.000+0000'},0.1405381306324702,2017-01-30,0.5272604753736828
{'$date': '2016-12-05T00:00:00.000+0000'},0.06819444444444445,2016-12-05,0.4393055555555555
{'$date': '2016-12-02T00:00:00.000+0000'},0.1453400673400674,2016-12-02,0.4456368446368447
{'$date': '2017-02-13T08:27:49.000+0000'},-0.007504278667069367,2017-02-13,0.3005376019329508
{'$date': '2017-02-10T15:39:13.000+0000'},0.1348469387755102,2017-02-10,0.4159467120181405
{'$date': '2017-02-13T03:33:10.000+0000'},0.07104811556424462,2017-02-13,0.4330271998013933
{'$date': '2017-03-28T00:00:00.000+0000'},0.0830162794951527,2017-03-28,0.4659898786659347
{'$date': '2017-01-09T16:28:27.000+0000'},0.1108137358137358,2017-01-09,0.4137592137592138
{'$date': '2017-01-10T00:00:00.000+0000'},0.1461251692179527,2017-01-10,0.4587721099061304
{'$date': '2016-12-14T07:59:42.000+0000'},0.02677128427128427,2016-12-14,0.4658761724386725
{'$date': '2016-12-15T14:32:23.000+0000'},0.1516934046345811,2016-12-15,0.418716577540107
{'$date': '2016-12-14T00:00:00.000+0000'},0.2226750588592694,2016-12-14,0.5531802992329308
{'$date': '2017-02-06T13:33:04.000+0000'},0.04770748964297351,2017-02-06,0.3072499185402411
{'$date': '2017-02-06T08:17:39.000+0000'},0.173570998537886,2017-02-06,0.4318536595854476
{'$date': '2017-03-29T00:00:00.000+0000'},0.07202455590386625,2017-03-29,0.3229075235109718
{'$date': '2017-03-27T15:14:14.000+0000'},0.1607800224466891,2017-03-27,0.4505647174694793
{'$date': '2017-03-28T19:30:56.000+0000'},0.07049062049062049,2017-03-28,0.399042809042809
{'$date': '2016-12-13T19:58:17.000+0000'},0.1613636363636363,2016-12-13,0.448989898989899
{'$date': '2016-12-13T00:00:00.000+0000'},0.06153846153846154,2016-12-13,0.3064102564102564
{'$date': '2017-02-25T01:13:14.000+0000'},0.1106112852664577,2017-02-25,0.5042789968652037
{'$date': '2017-02-24T15:55:10.000+0000'},0.3208333333333333,2017-02-24,0.5341666666666667
{'$date': '2017-03-29T00:00:00.000+0000'},0.1360968152704995,2017-03-29,0.4854356016303386
{'$date': '2017-01-25T00:00:00.000+0000'},-0.008306486794858892,2017-01-25,0.4202968220410081
{'$date': '2017-01-26T10:35:00.000+0000'},0.1430555555555555,2017-01-26,0.4262152777777778
{'$date': '2017-01-27T00:00:00.000+0000'},0.2376391621846167,2017-01-27,0.5266403209585028
{'$date': '2016-12-28T13:03:16.000+0000'},0.13544536271809,2016-12-28,0.3816517447199266
{'$date': '2016-12-21T00:00:00.000+0000'},0.1198059360730593,2016-12-21,0.4020004348771472
{'$date': '2017-01-12T07:18:34.000+0000'},0.04706295477572073,2017-01-12,0.4510592244634797
{'$date': '2017-01-11T16:51:48.000+0000'},0.1331326081326081,2017-01-11,0.4579152329152329
{'$date': '2017-01-11T00:00:00.000+0000'},0.107346796229775,2017-01-11,0.4950057566546928
{'$date': '2016-12-22T15:24:26.000+0000'},0.156095145988763,2016-12-22,0.4358777747075618
{'$date': '2016-12-23T09:15:01.000+0000'},-0.05483870967741938,2016-12-23,0.4333333333333335
{'$date': '2016-12-21T00:00:00.000+0000'},0.06144830659536542,2016-12-21,0.4342884729649435
{'$date': '2016-12-22T00:00:00.000+0000'},0.173546511627907,2016-12-22,0.5157622739018086
{'$date': '2016-12-14T04:00:13.000+0000'},0.1388420862762968,2016-12-14,0.4218904268246374
{'$date': '2016-12-13T12:50:34.000+0000'},0.06329816017316017,2016-12-13,0.3737418831168831
{'$date': '2016-12-15T00:00:00.000+0000'},0.1705076272933416,2016-12-15,0.4660791589363018
