publish_date,sentiment_subjectivity,sentiment_polarity,Date
{'$date': '2017-02-12T00:00:00.000+0000'},0.392463768115942,0.1112034161490683,2017-02-12
{'$date': '2016-11-18T00:00:00.000+0000'},0.4218483536665356,0.2248048668503214,2016-11-18
{'$date': '2016-12-25T00:00:00.000+0000'},0.5214958218864469,0.09407552083333333,2016-12-25
{'$date': '2017-02-24T00:00:00.000+0000'},0.4074397824397825,0.04082167832167833,2017-02-24
{'$date': '2017-02-22T00:00:00.000+0000'},0.4339031339031339,0.03703703703703705,2017-02-22
{'$date': '2017-01-22T00:00:00.000+0000'},0.4795531135531136,0.2018817065287654,2017-01-22
{'$date': '2017-03-18T00:00:00.000+0000'},0.4555701019410697,0.1376195712889262,2017-03-18
{'$date': '2017-03-17T00:00:00.000+0000'},0.3859655728886497,0.08867132867132868,2017-03-17
{'$date': '2017-03-09T00:00:00.000+0000'},0.4382365319865319,0.1569760101010101,2017-03-09
{'$date': '2017-03-15T00:00:00.000+0000'},0.4233532233532235,0.1441777816777817,2017-03-15
{'$date': '2017-03-17T00:00:00.000+0000'},0.5272272727272727,0.1669015151515152,2017-03-17
{'$date': '2017-03-09T00:00:00.000+0000'},0.4855670426065161,0.09463345864661653,2017-03-09
{'$date': '2017-03-21T00:00:00.000+0000'},0.3308823529411765,-0.01323529411764706,2017-03-21
{'$date': '2017-03-20T00:00:00.000+0000'},0.427984126984127,0.02953968253968254,2017-03-20
{'$date': '2017-03-23T14:26:05.162+0000'},0.4396886773357364,0.1465694273047214,2017-03-23
{'$date': '2017-03-17T00:00:00.000+0000'},0.3800358422939067,-0.01007616487455196,2017-03-17
{'$date': '2017-03-23T16:14:39.000+0000'},0.4928503787878789,0.1053030303030303,2017-03-23
{'$date': '2017-03-17T00:00:00.000+0000'},0.4049383799383799,0.05525671775671775,2017-03-17
{'$date': '2017-03-14T00:00:00.000+0000'},0.3622222222222222,-0.06555555555555555,2017-03-14
{'$date': '2017-03-23T00:00:00.000+0000'},0.5500396825396826,0.1541137566137566,2017-03-23
{'$date': '2017-03-27T16:31:07.000+0000'},0.5005813953488372,0.1705426356589147,2017-03-27
{'$date': '2017-03-24T00:00:00.000+0000'},0.4395516388373532,0.01150664811379097,2017-03-24
{'$date': '2017-03-16T00:00:00.000+0000'},0.4048433048433048,0.05181623931623933,2017-03-16
{'$date': '2017-03-26T17:00:00.000+0000'},0.3874409571909572,0.09123989898989898,2017-03-26
{'$date': '2017-03-17T00:00:00.000+0000'},0.4231171606171607,0.02068209568209569,2017-03-17
{'$date': '2017-03-22T18:51:54.000+0000'},0.3066778900112233,0.1219416386083053,2017-03-22
