Date,sentiment_polarity,sentiment_subjectivity,Open,High,Low,Close,Volume,Change,Class_Label
42788,0.058333333,0.35,828.66,833.25,828.64,830.76,987248,2.1,1
42788,0.028171614,0.342180891,828.66,833.25,828.64,830.76,987248,2.1,1
42788,0.04461039,0.293106061,828.66,833.25,828.64,830.76,987248,2.1,1
42789,0.03537615,0.391828735,830.12,832.46,822.88,831.33,1472771,1.21,1
42789,0.069402174,0.32951087,830.12,832.46,822.88,831.33,1472771,1.21,1
42789,0.012239859,0.244638448,830.12,832.46,822.88,831.33,1472771,1.21,1
42789,0.227777778,0.569444444,830.12,832.46,822.88,831.33,1472771,1.21,1
42789,0.073940551,0.463188829,830.12,832.46,822.88,831.33,1472771,1.21,1
42789,0.228827751,0.482057416,830.12,832.46,822.88,831.33,1472771,1.21,1
42790,0.047828283,0.324141414,827.73,829,824.2,828.64,1392202,0.91,1
42790,0.135085227,0.490909091,827.73,829,824.2,828.64,1392202,0.91,1
42790,0.131903353,0.541321499,827.73,829,824.2,828.64,1392202,0.91,1
42790,0.14015873,0.575714286,827.73,829,824.2,828.64,1392202,0.91,1
42790,0.320833333,0.534166667,827.73,829,824.2,828.64,1392202,0.91,1
42793,0.040367965,0.427994228,824.55,830.5,824,829.28,1101466,4.73,1
42793,0.213104839,0.405145929,824.55,830.5,824,829.28,1101466,4.73,1
42793,0.086013514,0.380653153,824.55,830.5,824,829.28,1101466,4.73,1
42793,0.15,0.05,824.55,830.5,824,829.28,1101466,4.73,1
42793,0.027274923,0.278236715,824.55,830.5,824,829.28,1101466,4.73,1
42794,0.20957013,0.446640909,825.61,828.54,820.2,823.21,2260769,-2.4,0
42794,0.132411565,0.45953288,825.61,828.54,820.2,823.21,2260769,-2.4,0
42794,0.061822917,0.312395833,825.61,828.54,820.2,823.21,2260769,-2.4,0
42794,0.058799283,0.325340502,825.61,828.54,820.2,823.21,2260769,-2.4,0
42794,0.009329004,0.252359307,825.61,828.54,820.2,823.21,2260769,-2.4,0
42796,0.029304511,0.31393066,833.85,834.51,829.64,830.63,942476,-3.22,0
42796,0.078131313,0.331717172,833.85,834.51,829.64,830.63,942476,-3.22,0
42796,0.116456359,0.538993799,833.85,834.51,829.64,830.63,942476,-3.22,0
42796,0.04308658,0.329510823,833.85,834.51,829.64,830.63,942476,-3.22,0
42796,0.180509701,0.500941428,833.85,834.51,829.64,830.63,942476,-3.22,0
42800,0.138353839,0.458427318,826.95,828.88,822.4,827.78,1109037,0.83,1
42800,0.03988937,0.272797018,826.95,828.88,822.4,827.78,1109037,0.83,1
42800,0.088239034,0.449034818,826.95,828.88,822.4,827.78,1109037,0.83,1
42801,0.00025463,0.394884259,827.4,833.41,826.52,831.91,1037630,4.51,1
42801,0.09628035,0.379540749,827.4,833.41,826.52,831.91,1037630,4.51,1
42802,0.115193325,0.409135124,833.51,838.15,831.79,835.37,989773,1.86,1
42802,0.058186275,0.294019608,833.51,838.15,831.79,835.37,989773,1.86,1
42802,0.059949495,0.305959596,833.51,838.15,831.79,835.37,989773,1.86,1
42802,0.020740741,0.341604938,833.51,838.15,831.79,835.37,989773,1.86,1
42802,0.098397436,0.379166667,833.51,838.15,831.79,835.37,989773,1.86,1
42802,0.074448915,0.42593105,833.51,838.15,831.79,835.37,989773,1.86,1
42803,0.047981902,0.297030724,836,842,834.21,838.68,1261517,2.68,1
42803,0.096161909,0.387810538,836,842,834.21,838.68,1261517,2.68,1
42804,0.064068627,0.34254902,843.28,844.91,839.5,843.25,1704024,-0.03,0
42804,0.038054153,0.327644501,843.28,844.91,839.5,843.25,1704024,-0.03,0
42804,0.066010101,0.34989899,843.28,844.91,839.5,843.25,1704024,-0.03,0
42804,0.533333333,0.7,843.28,844.91,839.5,843.25,1704024,-0.03,0
42804,0.13526936,0.406607744,843.28,844.91,839.5,843.25,1704024,-0.03,0
