publish_date,sentiment_subjectivity,sentiment_polarity,Date,Open,High,Low,Close,Volume
{'$date': '2017-01-23T00:00:00.000+0000'},0.3230000000000001,0.01,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T16:38:01.000+0000'},0.4421436588103256,-0.08383838383838382,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T00:00:00.000+0000'},0.3462481962481962,0.02236652236652236,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T14:13:31.000+0000'},0.3251082251082251,0.07268398268398267,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T00:00:00.000+0000'},0.49375,0.3203125,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2016-11-02T00:00:00.000+0000'},0.451403743315508,0.1225044563279857,2016-11-02,778.2,781.65,763.45,768.7,1918414.0
{'$date': '2016-09-26T00:00:00.000+0000'},0.478780487804878,0.04871951219512194,2016-09-26,782.74,782.74,773.07,774.21,1533206.0
{'$date': '2016-09-26T19:43:15.000+0000'},0.4368874417880097,0.1309069387052341,2016-09-26,782.74,782.74,773.07,774.21,1533206.0
{'$date': '2016-09-26T19:43:15.000+0000'},0.4368874417880097,0.1309069387052341,2016-09-26,782.74,782.74,773.07,774.21,1533206.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.5049242424242424,0.2727272727272727,2016-12-21,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T21:36:54.000+0000'},0.4321011842563567,0.05005660048763497,2016-12-21,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.5149471703819529,0.1871553788401615,2016-12-21,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.307422830792396,0.1003764351590439,2016-12-21,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.4524810606060605,0.02403829966329965,2016-12-21,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T09:45:11.000+0000'},0.4387419491078028,0.1187335022700876,2016-12-21,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.4020004348771472,0.1198059360730593,2016-12-21,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.4342884729649435,0.061448306595365425,2016-12-21,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-19T00:00:00.000+0000'},0.3892161542161542,0.0764968364968365,2016-12-19,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T00:00:00.000+0000'},0.4036561264822134,0.1082345191040843,2016-12-19,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T00:00:00.000+0000'},0.4159740259740259,0.1423160173160173,2016-12-19,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T00:00:00.000+0000'},0.4036561264822134,0.1082345191040843,2016-12-19,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T00:00:00.000+0000'},0.4159740259740259,0.1423160173160173,2016-12-19,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T05:53:37.000+0000'},0.4840786435786437,0.2182958152958153,2016-12-19,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T13:13:06.000+0000'},0.474019841269841,0.07340277777777776,2016-12-19,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T00:00:00.000+0000'},0.4429545454545454,0.1796780303030303,2016-12-19,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-10-07T00:00:00.000+0000'},0.4571839080459771,0.07567920585161965,2016-10-07,779.66,779.66,770.75,775.08,933158.0
{'$date': '2017-02-24T06:42:58.000+0000'},0.343412910618793,0.08177807486631015,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T00:00:00.000+0000'},0.5435739887352792,0.05898617511520737,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T00:00:00.000+0000'},0.4074397824397825,0.04082167832167833,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
{'$date': '2017-02-24T00:00:00.000+0000'},0.5435739887352792,0.05898617511520737,2017-02-24,827.73,829.0,824.2,828.64,1392202.0
